Bulan,Tahun,Program,Realisasi,Rencana kerja
Mar,2026,REVITALISASI TAMAN KEHATI BEDEGUNG,Revisi PKS Revitalisasi Taman Keanekaragaman Hayati (KEHATI) Bedegung,Follow Up agenda penandatanganan PKS Revitalisasi Taman Keanekaragaman Hayati (KEHATI) Bedegung
Mar,2026,PENGEMBANGAN DESA SIRAH PULAU,"5 Maret 2025 Diskusi Perencanaan implementasi Budidaya Ayam petelur (Sustainability PTBA didampingi Public Relation, BPD, Kades, FP2M)
Pengecekan lokasi lahan desa dan pembuatan Risalah rapat kesepakatan bersama
Adanya ND dari Sustainability Division Head ke Dir. SDM","Koordinasi lebih lanjut terkait disposisi Dir. SDM
Realisasi Program"
Apr,2026,PLTS IRIGASI,,
Apr,2026,BUDIDAYA MAGGOT,"Sebanyak 7 Orang Eks. PETI Yang tergabung di Kelompok budidaya maggot Kumata Desa Tanjung Agung
Pemanfaatan sampah Organik pada limbah Rumah Tangga, Rumah Makan/Bakso dan Pasar Kamis Desa Tanjung Agung","Pengadaan mesin pembubur sampah organic
Ujicoba pakan ternak itik desa tegal rejo
"
Apr,2026,BUDIDAYA IKAN AIR TAWAR,"Sebanyak 9 Orang Eks. PETI dan Karang Taruna yang tergabung di Kelompok Budidaya Ikan Putra Susukan Binaan PT Bukit Asam TBK
Penjulan Terhadap Ikan yang siap jual dan sudah dipanen saat ini di pasarkan di lingkungan Sekitar Kolam Binaan, Terdiri dari Masyarakat Lingkungan Sekitar, Pasar Tradisional/Kalangan, serta Kerjasama pasar dengan Owner Dutta coffeTanjung Enim
Adanya pengaplikasian Maggot Sebanyak 40 Kg di kolam Kelompok Budidaya Ikan Putra Susukan
Adanya kegiatan kunjungan forkopimcam Kec. Barangin Sawahlunto (4 Kepala Desa)","Dilakukan pegembangan usaha pemancingan di lokasi Kolam Binaan Kelompok Putra Susukan Desa Tanjung Agung (Pembangunan Naungan Rangka Baja Volumen 20 M2 )
Pengadaan bunga celosia merah dan kuning sebanyak 500 batang
Sosialisasi Exit Program untuk Kelompok Budidaya Ikan Putra Susukan
"
Apr,2026,SIBA PEMBIBITAN,,
Apr,2026,BUDIDAYA PUYUH SELEMAN,"Sebanyak 5 Orang Eks. PETI Yang tergabung di Kelompok Budidaya Burung Puyuh Bangsal Pematang Binaan PT Bukit Asam TBK
Saat ini Kelompok Bangsal Pematang telah melakukan penjualan  telur puyuh dipasar sekitar terdiri dari pasar Tanjung Enim dengan 2 agen tetap dan Pasar Kalangan desa Seleman Setiap hari jumat dan agen Baturaja
Adanya penjualan burung puyuh afkir ke pasar tanjong enim sebanyak 500 Ekor dengan harga Rp6.000/Ekor sehingga totalnya Rp.3.000.000,-",Sosialisasi Exit Program untuk Kelompok Budidaya Burung Puyuh Bangsal Pematang Desa Seleman
Apr,2026,BUDIDAYA PUYUH PETELUR DARMO,"Sebanyak 14 Orang Eks. PETI Yang tergabung di Kelompok Peternakan Burung Puyuh Simpang Karso Desa Darmo
Jumlah indukan puyuh saat ini sebanyak 14.750 Ekor
Adanya permintaan telur puyuh rebus dari CSR PTBA Sebanyak 2400 Pcs
Adanya kunjungan Forkopimcam Kec. Barangin Sawahlunto di Kelompok PPSKD Desa Darmo","Adanya rencana penjajakan Kerjasama (PKS) dengan Agen Pakan dan telur Puyuh Waykanan Lampung;
Rekayasa Teknik untuk peningkatan kualitas produk teluh puyuh kelompok PPSKD Desa Darmo
Pelatihan pengolahaan tanaman sayuran dan tanaman semangka pemanfaatan KOHE Puyuh;
"
Apr,2026,ECOGROW MOM KWT UTUN MAKMUR,"Sebanyak 21 Orang Eks. Pekerja PETI, Ibu RT dan MBR Yang tergabung di Kelompok Wanita Tani Utun Makmur Desa Tanjung Karangan; 
Kegiatan gotong royong telah dilaksanakan dibulan ini sebanyak 4X, dimana kegiatan dilakukan setiap hari jumat sore.
Pada bulan April 2026 ini adanya kegiatan penjualan hasil tanaman yaitu :
a. Kangkung 165 Ikat X Rp2000,-
b. Terong 10 Kg X Rp10.000,-
c. Kacang Kulit 30 Kg X 15.000,-
Sehingga Total Penjualan bulan April Yaitu Rp.880.000,-

Adanya penanaman cabe rawit dan penanaman sayur kangkong cabut serta tanaman sayur genjer.
","Adanya pelatihan dasar terkait pembibitan, pengenalan hama tanaman dan cara mengatasinya melibatkan Narasumber Internal dan Eksternal
Adanya Bantuan BIBIT Kangkung untuk mendukung Produktivitas Kelompok
"
Apr,2026,POKTAN CAHAYA TANI,"Sebanyak 9 Orang Eks. Pekerja PETI Yang tergabung di Kelompok Pembibitan Cahaya Tani Desa Darmo;
Adanya pengadaan bibit sawit berumur 6 Bulan sebanyak 3000 Batang yang dilakukan oleh kelompok cahaya tani desa darmo sebagai Langkah awal untuk mengisi bedengan (Swadaya);
Adanya perawatan tanaman sawit dengan baik dan penjualan 
","Adanya pelatihan dasar terkait pembibitan, pengenalan hama tanaman dan cara mengatasinya melibatkan Narasumber Internal dan Eksternal
Pengadaan fasilitas rumah tanaman dan waring untuk mengantisipasi kerusakan tanaman akibat gangguan hewan/monyet.
Melanjutkan pekerjaan WC Umum Kelompok 
"
Apr,2026,BUDIDAYA ITIK PETELUR,"Tingkat Survival Rate (SR) Itik Petelur mencapai 98,8% / mortality hanya 1,2%. Populasi saat ini sebanyak 494 bibit itik petelur.
Sudah memasuki fase produksi dalam 40 hari setelah distribusi, baru mencapai 10% tingkat produksi (50 butir per hari). Kondisi normal, fase produksi dicapai setelah 90 hari setelah distribusi
","Akan dilakukan pelatihan lanjutan pembuatan pakan mandiri untuk menghasilkan telur omega
Adanya uji coba maggot sebagai nutrisi tambahan dalam pakan"
Apr,2026,SUSCOMDEV LINGKAR TAMBANG,,
Apr,2026,SUSCOMDEV PRABUMENANG,,
Apr,2026,BUDIDAYA RAS SYSTEM,"Sebanyak 6 Orang Kelompok Yang tergabung di Kelompok Budidaya ikann air paku desa Keban Agung;
Pada tanggal 8 april 2026 adanya kegiatan pengujian PH air, DO, dan Sirkulasi air pada kolam ikan kelompok air paku desa keban agung;
Terdapat 50% ikan nila mati disebabkan oleh kondisi air yang dicemari oleh banyak lumut/alga.
Pada tanggal 22 april 2026 adanya kegiatan ujicoba tanaman hydroponic di kelompok air paku desa keban agung
","Monitoring Berkala ( Pertumbuhan bibit, kuaitas air, kualitas tanaman hydroponic dan sebagainya)
Bantuan perbaikan akses jalan menuju kolam kelompok budidaya ikan air paku Desa Keban Agung sepanjang 80 M (Bertahap)
"
Apr,2026,PILOT PROJECT KALIUM HUMAT,,
Apr,2026,BA-MAXI,,
Apr,2026,REVITALISASI TAMAN KEHATI BEDEGUNG,"Telah dilakukan penandatanganan Perjanjian Kerjasama antara Dinas Lingkungan Hidup dan PT Bukit Asam (Persero) Tbk untuk Revitalisasi Taman Kehati
Adanya 2 Piagam Penghargaan atas Partisipasi Revitalisasi Taman Kehati Bedegung serta Pembina Desa Proklim","Pembuatan KAK dan HPS Pekerjaan Revitalisasi Taman Kehati
Koordinasi vendor dan Dinas Lingkungan Hidup terkait pelaksanaan revitalisasi"
Apr,2026,PENGEMBANGAN DESA SIRAH PULAU,,
